date,transition,asset,pre_cum_ret,post_cum_ret
2006-10-06,0 -> 1,黄金,-0.0705,0.0503
2006-10-06,0 -> 1,白银,-0.0796,0.138
2006-10-06,0 -> 1,铜,-0.0474,-0.0938
2006-10-06,0 -> 1,原油,0.0,0.0
2006-10-06,0 -> 1,煤炭,0.0,0.0
2006-12-29,1 -> 0,黄金,0.0349,0.0803
2006-12-29,1 -> 0,白银,0.041,0.1169
2006-12-29,1 -> 0,铜,-0.162,-0.0682
2006-12-29,1 -> 0,原油,0.0,0.0
2006-12-29,1 -> 0,煤炭,0.0,0.0
2007-02-23,0 -> 1,黄金,0.0803,0.0248
2007-02-23,0 -> 1,白银,0.1169,0.0063
2007-02-23,0 -> 1,铜,-0.0682,0.3283
2007-02-23,0 -> 1,原油,0.0,0.0
2007-02-23,0 -> 1,煤炭,0.0,0.0
2007-03-02,1 -> 0,黄金,0.0737,0.0147
2007-03-02,1 -> 0,白银,0.1382,-0.0446
2007-03-02,1 -> 0,铜,-0.007,0.2701
2007-03-02,1 -> 0,原油,0.0,0.0
2007-03-02,1 -> 0,煤炭,0.0,0.0
2008-09-05,0 -> 1,黄金,-0.1101,-0.1208
2008-09-05,0 -> 1,白银,-0.2558,-0.3169
2008-09-05,0 -> 1,铜,-0.1423,-0.5021
2008-09-05,0 -> 1,原油,0.0,-0.1886
2008-09-05,0 -> 1,煤炭,0.0,0.0
2009-07-03,1 -> 0,黄金,0.0574,0.013
2009-07-03,1 -> 0,白银,0.1312,0.003
2009-07-03,1 -> 0,铜,0.0916,0.2599
2009-07-03,1 -> 0,原油,0.379,0.0684
2009-07-03,1 -> 0,煤炭,0.0,0.0
2010-04-30,0 -> 1,黄金,0.0319,0.0893
2010-04-30,0 -> 1,白银,0.105,0.0542
2010-04-30,0 -> 1,铜,0.0751,-0.1782
2010-04-30,0 -> 1,原油,0.1119,-0.0941
2010-04-30,0 -> 1,煤炭,0.0,0.0
2010-09-17,1 -> 0,黄金,0.0447,0.1184
2010-09-17,1 -> 0,白银,0.1179,0.3678
2010-09-17,1 -> 0,铜,0.1628,0.1591
2010-09-17,1 -> 0,原油,0.0378,0.1001
2010-09-17,1 -> 0,煤炭,0.0,0.0
2011-07-29,0 -> 1,黄金,0.0422,0.1316
2011-07-29,0 -> 1,白银,0.062,0.016
2011-07-29,0 -> 1,铜,0.0545,-0.1085
