date,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6
2021-04-02,0.9797158328777729,0.0,0.0011560691700660197,0.0,0.019128097952158914,0.0,2.2419102937071636e-15
2021-04-09,0.9825941233430858,0.0,0.0011651685901135085,0.0,0.016240708066765027,0.0,3.53603157843276e-14
2021-04-16,0.9788741599400748,0.0,0.0014378242996549964,0.0,0.019688015759872828,0.0,3.97779662875474e-13
2021-04-23,0.9383455884672485,0.0,0.0019540864264545534,0.0,0.05970032510197293,0.0,4.32354830238714e-12
2021-04-30,0.9333885210996575,0.0,0.001664532843116379,0.0,0.06494694605717218,0.0,5.428253733916719e-14
2021-05-07,0.9456620350306247,0.0,0.001960297898625867,0.0,0.05237766707020364,0.0,5.460795403383114e-13
2021-05-14,0.8863345840630436,0.0,0.0024032706160061006,0.0,0.1112621453166953,0.0,4.2543423287599825e-12
2021-05-21,0.858905745005242,0.0,0.0036242844083963026,0.0,0.13746997055084162,0.0,3.552098436331637e-11
2021-05-28,0.8652895214526196,0.0,0.004614650475102087,0.0,0.1300958280721966,1.896954168251578e-228,8.164267095072768e-14
2021-06-04,0.9393745115908989,0.0,0.0017208344665248967,0.0,0.05890465394242487,0.0,1.5173477169019117e-13
2021-06-11,0.9512426365955859,0.0,0.0017666872464877593,0.0,0.0469906761570772,0.0,8.488803590732214e-13
2021-06-18,0.9303062386974209,0.0,0.0022223436195486423,0.0,0.06747141767943275,0.0,3.5984240739992826e-12
2021-06-25,0.9447753331126192,0.0,0.004232521844973199,0.0,0.05099214504239897,1.6659279920561157e-195,8.396091924033522e-15
2021-07-02,0.9796655673006933,0.0,0.001671643136206673,0.0,0.018662789563005457,0.0,9.421559531485177e-14
2021-07-09,0.9480284214330468,0.0,0.0019448544429386538,0.0,0.05002672412327522,0.0,7.393631023932397e-13
2021-07-16,0.9155409251659464,0.0,0.0024467403099335126,0.0,0.0820123345210976,0.0,3.021596700726914e-12
2021-07-23,0.9055336170697605,0.0,0.006873141955202506,0.0,0.08759324097503408,1.311387586603439e-97,2.861016228449867e-15
2021-07-30,0.8443747605612106,0.0,0.00704086855904621,0.0,0.1485843708797181,3.8011919782535385e-108,2.5893083695453183e-14
2021-08-06,0.9486353044050431,0.0,0.002659381025537862,0.0,0.04870531456887761,3.7639994986682537e-264,5.414720536543225e-13
2021-08-13,0.9332206508007732,0.0,0.003384594234029057,0.0,0.06339475496272218,7.123066965846687e-264,2.475248257446167e-12
2021-08-20,0.9115807347597452,0.0,0.0047438773994417024,0.0,0.08367538783766075,5.218492573302685e-208,3.152357861588206e-12
2021-08-27,0.6036240824411838,0.0,0.04601003438124929,0.0,0.3503658831775672,6.180639773973012e-21,4.677337178342544e-18
2021-09-03,0.8438973989697749,0.0,0.0073313952115866415,0.0,0.14877120581863476,2.4398105437552804e-102,3.0825938976943394e-15
2021-09-10,0.9270749654997734,0.0,0.016682765397817618,0.0,0.056242269102392856,7.242926077179788e-78,1.6546193834354577e-14
2021-09-17,0.927344275649073,0.0,0.01739485719786138,0.0,0.055260867153042716,3.041197669411594e-61,2.2432170219807924e-14
2021-09-24,0.5951616346844456,0.0,0.07805756870128455,0.0,0.32678079661427023,1.3182637894318541e-25,3.9445840240548834e-18
2021-10-01,0.9604732069991173,0.0,0.015972154260089442,0.0,0.02355463874079093,4.252336087856612e-72,2.774200675997956e-15
2021-10-08,0.938846344427498,0.0,0.010242905482656337,0.0,0.05091075008984026,1.1230382077945858e-71,5.357829236161481e-15
2021-10-15,0.9442202907086549,0.0,0.008153546523284353,0.0,0.04762616276804945,1.3870805565501927e-73,1.1570367996886046e-14
2021-10-22,0.9352560502494618,0.0,0.0081741705294104,0.0,0.05656977922108879,7.732365330165073e-76,3.92316050450659e-14
2021-10-29,0.8333326116217991,0.0,0.052629958387903165,0.0,0.11403742999029748,6.124314675966103e-24,2.2884567288594065e-17
2021-11-05,0.9765448562725138,0.0,0.00185869399848545,0.0,0.021596449728633924,5.074907685706927e-289,3.6703563656754846e-13
2021-11-12,0.9823821980006716,0.0,0.002374174622847302,0.0,0.015243627376030723,1.1588471123345033e-251,4.503096412729243e-13
2021-11-19,0.9772978396804257,0.0,0.0037058673846331078,0.0,0.018996292934161642,8.001913945708124e-217,7.794721482526867e-13
2021-11-26,0.24846997615260003,0.0,0.7515300234740266,0.0,3.7336883232976374e-10,4.2126253595193515e-19,4.4978332403419225e-15
2021-12-03,0.7929372370972455,0.0,0.20706276287691394,0.0,9.348021047559245e-12,4.63464255959737e-310,1.6492540666791476e-11
2021-12-10,0.9708350506301383,0.0,0.002701435658613877,0.0,0.02646351370700927,0.0,4.238494135145899e-12
2021-12-17,0.9875512668184407,0.0,0.007050205698549633,0.0,0.005398527467001946,4.400710507053421e-298,1.6007642002255502e-11
2021-12-24,0.8911869241780159,0.0,0.026060974903094506,0.0,0.08275210091888972,3.307958843691328e-30,1.9465988457082983e-16
2021-12-31,0.9073373273217454,0.0,0.013167206632262715,0.0,0.0794954660459902,7.149044894507606e-51,1.9922935973701224e-15
2022-01-07,0.9201131898283657,0.0,0.01855184345327055,0.0,0.0613349667183554,7.474127542997124e-46,8.162999746617307e-15
2022-01-14,0.9222484012085634,0.0,0.020908443286666523,0.0,0.05684315550473405,3.0939344944596434e-48,3.5970409133651016e-14
2022-01-21,0.39327962550066026,0.0,0.606720373228942,0.0,1.2698642777424422e-09,2.796516540532397e-32,5.337314727121474e-13
2022-01-28,2.8919945359895047e-05,0.0,0.9999710787663086,0.0,1.288331643503288e-09,0.0,6.6974935449681505e-25
2022-02-04,0.5503097218656458,0.0,0.44855969309289045,0.0,0.0011305850354691059,5.994633007713995e-12,3.744334463288637e-17
2022-02-11,0.1722414421665225,0.0,0.8277584776115792,0.0,7.83700851708505e-08,1.8518129792034928e-09,1.2418148046653397e-16
2022-02-18,0.22271999162979841,0.0,0.7772799256184992,0.0,8.002522623503693e-08,2.7264755742334076e-09,4.57522798482724e-16
2022-02-25,0.00017726038371094368,0.0,0.99982269659572,0.0,4.302056882092542e-08,1.8298980375433824e-222,6.82472827167366e-24
2022-03-04,0.05790976403708981,0.0,0.94209023595989,0.0,3.0201013563068753e-12,2.095444955205305e-21,4.131155255163675e-17
2022-03-11,0.24553702377557862,0.0,0.7544629734387759,0.0,2.785645031829543e-09,5.899871560923532e-23,2.744424864378625e-16
2022-03-18,0.9106950772062534,0.0,0.08745138100170882,0.0,0.0018535417920372457,6.566755345102323e-36,8.295332728466315e-16
2022-03-25,0.902257565673907,0.0,0.06014245195651354,0.0,0.03759998236957935,9.085751593793934e-23,1.4376133490059398e-16
2022-04-01,0.9845364659434832,0.0,0.0005607606681912853,0.0,0.01490277332732245,0.0,6.10030644158734e-11
2022-04-08,0.9893196756052913,0.0,0.0011307193815586036,0.0,0.009549604903149461,0.0,1.1000027777221469e-10
2022-04-15,0.9921515434924841,0.0,0.002635227223489777,0.0,0.005213228945203271,0.0,3.388230128911579e-10
2022-04-22,0.9809450234555801,0.0,0.019048192976932297,0.0,6.782254281391747e-06,0.0,1.313206197361277e-09
2022-04-29,0.7165195659644915,0.0,0.28348043361350966,0.0,4.217794309558224e-10,2.1342859052753743e-123,2.1934766753800038e-13
2022-05-06,0.9949296200904124,0.0,0.005069732170713883,0.0,6.476881978143289e-07,0.0,5.0675702236647126e-11
2022-05-13,0.9947895535913778,0.0,0.005195607654071092,0.0,1.4838663136413109e-05,0.0,9.141495614760993e-11
2022-05-20,0.9875270164557786,0.0,0.01245536439659831,0.0,1.7618335340714168e-05,0.0,8.122824367171124e-10
2022-05-27,0.9806821357865574,0.0,0.018144585107004955,0.0,0.0011732791064042673,4.325079463802564e-138,3.3490888498349525e-14
2022-06-03,0.9980096465018449,0.0,0.0007517874951056449,0.0,0.001238565965409282,0.0,3.764006539051973e-11
2022-06-10,0.9977039575906079,0.0,0.0021779461960459855,0.0,0.0001180961522057456,0.0,6.114032004902153e-11
2022-06-17,0.9904126056428523,0.0,0.009584051238610032,0.0,3.3428390805643407e-06,0.0,2.794572067557108e-10
2022-06-24,0.9589400620675479,0.0,0.040215457595583017,0.0,0.0008444803368673559,2.7025501818854935e-88,1.5019513943757109e-15
2022-07-01,0.9982943841172236,0.0,0.0013766303108769403,0.0,0.00032898557155049146,0.0,3.490325704929074e-13
2022-07-08,0.996401537054819,0.0,0.001196797892508903,0.0,0.002401665052081143,0.0,5.905804798095228e-13
2022-07-15,0.9934873749792853,0.0,0.0016684231351874537,0.0,0.004844201883581347,0.0,1.945561156939409e-12
2022-07-22,0.9785176654405988,0.0,0.002339007971233521,0.0,0.019143326574235984,0.0,1.3931427607277368e-11
2022-07-29,0.9465882301294073,0.0,0.008333785580622774,0.0,0.04507798428996688,1.8023208242786376e-98,3.359515985527205e-15
2022-08-05,0.3655765736624307,0.0,0.2699653769520158,0.0,0.36445804938555365,3.2524367087148795e-160,1.3174788898321472e-18
2022-08-12,0.4829385288133199,0.0,0.136233845931331,0.0,0.38082762525534924,5.900791676055637e-128,7.658016084784656e-18
2022-08-19,0.5547215243841727,0.0,0.16964733797064938,0.0,0.27563113764517794,1.488182514330182e-126,3.4384435513386603e-17
2022-08-26,0.014388004368348938,0.0,0.9490275369685809,0.0,0.0365844586630701,0.0,2.9039403443095694e-22
2022-09-02,0.04999902105152172,0.0,0.8990414140704198,0.0,0.05095956487805865,0.0,1.3011828103857829e-20
2022-09-09,0.2024056908804495,0.0,0.47354592544357704,0.0,0.32404838367597344,0.0,3.931331345827301e-19
2022-09-16,0.2530377801889708,0.0,0.7140667348771773,0.0,0.03289548493385233,1.80480718379971e-280,1.6090739722490442e-17
2022-09-23,0.009767854175178755,0.0,0.9900855532869144,0.0,0.00014659253790701322,0.0,1.6244075325938918e-20
2022-09-30,0.026128155472069085,0.0,0.9738559972120713,0.0,1.584731585988076e-05,0.0,1.8850230479687003e-18
2022-10-07,0.07073019060976081,0.0,0.9292112188309702,0.0,5.859055926860755e-05,1.2149181336985e-310,4.9448206844441634e-17
2022-10-14,0.10108034462916343,0.0,0.89888704275803,0.0,3.261261280596225e-05,1.5544932419405742e-255,7.139040111457056e-16
2022-10-21,0.3284809275892553,0.0,0.6690376229884542,0.0,0.002481449422281486,3.884845008275334e-199,9.315696180804518e-15
2022-10-28,0.47888449703548236,0.0,0.20322715031261643,1.6852171707096163e-78,0.3178883523726247,1.0325186398337673e-22,2.792763288781955e-10
2022-11-04,0.17168941199617116,0.0,0.15558293727189748,0.0,0.6727276495158228,1.2916669403606251e-39,1.2161086831479969e-09
2022-11-11,0.07012269902412702,0.0,0.04882100107577976,0.0,0.8810562975736921,3.6154265948366647e-25,2.326401085311467e-09
2022-11-18,0.051195616578767,0.0,0.054756028319984065,0.0,0.8940483493776394,3.6622066645153967e-23,5.723609007084335e-09
